section,question_id,question_text
publisher,publisher_1,Company name
publisher,publisher_2,Estimated sales (converted to USD)
publisher,publisher_3,Known for
registration,registration_1,Do they have a policy to register all trials (excepting specific exclusions in later columns) from now?
registration,registration_2,"Do they say they conduct any kind of audit of compliance with their registration policy? (If they don't mention it, then no.)"
registration,registration_3,"If they do conduct an audit of compliance, do they share the summary results of this audit publicly?"
registration,registration_4,"If they do conduct an audit of compliance, do they share the line by line individual trial data from this audit publicly? (That is: the names of trials, and then whether they were in compliance with the policy, or not.)"
registration,registration_5,"Does the policy include phase 4 trials? If they say ""all"" then this is assumed to include phase 4."
registration,registration_6,Does their current policy describe the registration policy covering past trials?
registration,registration_7,"From what date does this policy apply? (Give explanation of how year is used eg ""trials initiated after 2001"" or ""trials used in regulatory approval since 2003"" etc, or if not other details given then ""200x NOS"" [not otherwise specified]).This date is normalised after the second ""/"" to permit comparisons between companies. The average duration of a clinical trial is 2 years, as per Pregelj 2015. Therefore we normalise to NOS date. If a company commitment is ""trials initiated after 2010"" then this becomes ""2011"", if the commitment is ""trials completing after 2012"" then this becomes ""2011"", and so on. Whole years are used for simplicity. "
results,results_1,Do they have a policy to make all summary results available? (Excepting specific exclusions in later columns).
results,results_2,"Do they commit to post summary results on pre-specified primary and secondary outcomes to clinicaltrials.gov within 12 months of completion? (Here, we are strict on 12 months, because without a time commitment there is effectively no commitment; where there is a longer time commitment, we give no and specify the delayed time period in a comment. If a company only says it commits to comply with legislation they get ""no"" here, as legislation does not cover all trials.)"
results,results_3,"Do they commit to post summary results to their own website within 12 months of completion? (Note same conditions on ""within 12 months"" apply as for posting results on clinicaltrials.gov)."
results,results_4,"Do they commit to submit all trial results to an academic journal within 12 months of completion. (This cannot be with caveats, eg ""we submit all medically important results"" scores ""no"")."
results,results_5,Does this commitment to post summary results include unlicensed treatments?
results,results_6,"Does this commitment to post summary results include unlicensed uses of licensed treatments? (In the absence of a clear commitment either way: if the company does not post summary results on unlicensed treatments, the answer on unlicensed uses of licensed treatments is assumed to also be ""no""; if the company has a clear theme of ""all"" trials throughout their policy, then the answer is assumed to be ""yes""). "
results,results_7,"Does this commitment to post summary results include phase 4 trials? (In the absence of a clear commitment either way, if there is a clear theme of ""all"" throughout the policy document, for example if they have made commitments to phase 2-4 trials for other aspects of their policy and there is no reason to believe that this issue would be an exception to that, then this is ""yes"").  "
